,,First Name,Last Name,E Mail,Phone No. ,Department,Job_Code,,,,,Job_Code,,,,
,,Shawna,Buck,shawna.buck@gmail.com,702-771-7149,Sales,TEC1,,,,,,,,,
,,Nathaniel,Burke,nathaniel.burke@walmart.com,231-765-6923,Tech Support,TEC3,,,,,,,,,
,,Elisabeth,Foster,elisabeth.foster@gmail.com,270-749-4774,Customer Support,TEC1,,,,,,,,,
,,Briana,Lancaster,briana.lancaster@yahoo.com,219-623-8216,Accounting,CLK,,,,,,,,,
,,Estella,Potter,estella.potter@gmail.com,907-677-8486,Admin,MAN,,,,,,,,,
,,Lamont,Woods,lamont.woods@hotmail.com,236-597-8196,Sales,MAN,,,,,,,,,
,,Melinda,Lopez,melinda.lopez@hotmail.com,210-396-1493,Accounting,CLK,,,,,,,,,
,,Shanna,Silva,shanna.silva@gmail.com,236-373-6712,Accounting,CLK,,,,,,,,,
,,Jasmine,Freeman,jasmine.freeman@gmail.com,423-796-1535,Accounting,SUP,,,,,,,,,
,,Madge,Sargent,madge.sargent@aol.com,217-910-0644,Sales,ENG,,,,,,,,,
,,Reid,Randolph,reid.randolph@gmail.com,209-996-8902,Sales,TEC2,,,,,,,,,
,,Antoine,Wiley,antoine.wiley@verizon.net,503-361-6334,Sales,TEC2,,,,,,,,,
,,Mathew,Hodge,mathew.hodge@hotmail.com,209-294-7430,Sales,ENG,,,,,,,,,
,,Bernardo,Austin,bernardo.austin@hotmail.com,319-716-4227,Sales,MAN,,,,,,,,,
,,Cole,Jensen,cole.jensen@aol.com,405-495-4201,Sales,TEC1,,,,,,,,,
,,Tonia,Burns,tonia.burns@gmail.com,209-631-5424,Sales,TEC1,,,,,,,,,
,,Tod,Holcomb,tod.holcomb@outlook.com,240-364-4220,Customer Support,MAN,,,,,,,,,
,,Yesenia,Guerrero,yesenia.guerrero@btinternet.com,240-505-5321,Customer Support,ENG,,,,,,,,,
,,Carey,Ferrell,carey.ferrell@yahoo.com,212-495-4523,Customer Support,ENG,,,,,,,,,
,,Aileen,Blanchard,aileen.blanchard@gmail.com,308-788-3843,Customer Support,ENG,,,,,,,,,
,,Marta,Cervantes,marta.cervantes@gmail.com,206-858-9176,Customer Support,CLK,,,,,,,,,
,,Arthur,Holloway,arthur.holloway@aol.com,225-832-0451,Customer Support,TEC3,,,,,,,,,
,,Tara,Forbes,tara.forbes@gmail.com,319-249-4281,Customer Support,TEC2,,,,,,,,,
,,Josef,Griffin,josef.griffin@yahoo.com,209-441-9130,Tech Support,MAN,,,,,,,,,
,,Keri,Slater,keri.slater@apple.com,207-842-2965,Tech Support,OPR,,,,,,,,,
,,Desmond,Wynn,desmond.wynn@hotmail.com,209-319-3405,Tech Support,OPR,,,,,,,,,
,,Adrienne,Puckett,adrienne.puckett@verizon.net,209-235-0390,Tech Support,OPR,,,,,,,,,
,,Beatriz,Knowles,beatriz.knowles@gmail.com,406-923-1326,Tech Support,SUP,,,,,,,,,
,,Jermaine,Sykes,jermaine.sykes@apple.com,239-204-8747,Tech Support,CLV,,,,,,,,,
,,Scott,Best,scott.best@cox.net,307-504-4165,Accounting,CLV,,,,,,,,,
,,Isabel,Espinoza,isabel.espinoza@gmail.com,405-622-8606,,,,,,,,,,,
,,Marcelino,Kinney,marcelino.kinney@gmail.com,479-929-0873,,,,,,,,,,,
,,Benjamin,Jennings,benjamin.jennings@gmail.com,907-621-7774,Human Resources,,,,,,,,,,
,,Marcia,Casey,marcia.casey@gmail.com,210-804-3397,Human Resources,,,,,,,,,,
,,Rudolph,Gordon,rudolph.gordon@aol.com,304-418-1131,Human Resources,,,,,,,,,,
,,Beverly,Rosales,beverly.rosales@yahoo.com,217-490-8205,,,,,,,,,,,
,,Marcus,Bolton,marcus.bolton@aol.com,212-514-2721,Tech Support,,,,,,,,,,
,,Priscilla,Mays,priscilla.mays@gmail.com,231-346-3176,Customer Support,,,,,,,,,,
,,Lynn,Pena,lynn.pena@yahoo.co.in,217-334-0502,Sales,,,,,,,,,,
,,Tessa,Pace,tessa.pace@aol.com,319-672-2590,Tech Support,,,,,,,,,,
,,Rufus,Guerra,rufus.guerra@rediffmail.com,212-472-1331,Accounting,,,,,,,,,,
,,Roman,Clark,roman.clark@aol.com,215-567-2136,Tech Support,,,,,,,,,,
,,Carmela,Jefferson,carmela.jefferson@walmart.com,239-941-5976,Human Resources,,,,,,,,,,
,,Thurman,Good,thurman.good@yahoo.com,217-874-3909,Tech Support,,,,,,,,,,
,,Lemuel,Guerrero,lemuel.guerrero@aol.com,215-226-4111,Customer Support,,,,,,,,,,
,,Clint,Bridges,clint.bridges@aol.com,217-331-1409,Human Resources,,,,,,,,,,
,,Karyn,Christian,karyn.christian@aol.com,206-731-9312,Tech Support,,,,,,,,,,
,,Lesa,Hughes,lesa.hughes@bp.com,219-822-4544,Accounting,,,,,,,,,,
,,Rich,Bates,rich.bates@apple.com,270-833-4069,Sales,,,,,,,,,,
,,Liz,Frank,liz.frank@hotmail.com,339-926-4628,Customer Support,,,,,,,,,,94m_
,,Kendra,Villarreal,kendra.villarreal@gmail.com,319-625-4770,Customer Support,,,,,,,,,,
,,Maryellen,Mcfadden,maryellen.mcfadden@hotmail.co.uk,479-467-9379,Customer Support,,,,,,,,,,
,,German,Carney,german.carney@aol.com,231-975-6713,Sales,,,,,,,,,,
,,Micheal,Shannon,micheal.shannon@earthlink.net,217-864-7925,Customer Support,,,,,,,,,,
,,Carlo,Albert,carlo.albert@gmail.com,212-267-9103,Accounting,,,,,,,,,,
,,Bianca,Langley,bianca.langley@gmail.com,228-683-5798,Sales,,,,,,,,,,
,,Elias,Cabrera,elias.cabrera@yahoo.com,215-258-0052,Sales,,,,,,,,,,
,,Alberta,Chapman,alberta.chapman@comcast.net,212-884-9934,Tech Support,,,,,,,,,,
,,Erin,Olsen,erin.olsen@yahoo.ca,215-325-1574,Tech Support,,,,,,,,,,
,,Frederic,Stephenson,frederic.stephenson@gmail.com,314-672-3681,Sales,,,,,,,,,,
,,Tanner,Caldwell,tanner.caldwell@aol.com,219-315-4592,Customer Support,,,,,,,,,,
,,Clarence,Powers,clarence.powers@gmail.com,229-748-1788,Customer Support,,,,,,,,,,
,,German,Sheppard,german.sheppard@gmail.com,252-794-3936,Sales,,,,,,,,,,
,,Dion,Duffy,dion.duffy@aol.com,201-358-5413,Human Resources,,,,,,,,,,
,,Cornelius,Townsend,cornelius.townsend@charter.net,314-501-3342,Admin,,,,,,,,,,
,,Patsy,Koch,patsy.koch@gmail.com,229-844-7119,Sales,,,,,,,,,,
,,Waldo,Shields,waldo.shields@aol.com,270-993-0450,Accounting,,,,,,,,,,
,,Damien,Rose,damien.rose@gmail.com,304-392-5876,Tech Support,,,,,,,,,,
,,Curt,Bridges,curt.bridges@microsoft.com,239-399-1809,Sales,,,,,,,,,,
,,Brenton,Matthews,brenton.matthews@bellsouth.net,216-585-2060,Tech Support,,,,,,,,,,
,,Miguel,Finley,miguel.finley@gmail.com,405-566-7872,Customer Support,,,,,,,,,,
,,Esperanza,Paul,esperanza.paul@aol.com,236-750-2453,Sales,,,,,,,,,,
,,Patricia,Briggs,patricia.briggs@yahoo.com,240-914-8001,Tech Support,,,,,,,,,,
,,Forrest,Noel,forrest.noel@hotmail.com,239-609-5243,Accounting,,,,,,,,,,
,,Marjorie,Wells,marjorie.wells@bp.com,316-282-5461,Tech Support,,,,,,,,,,
,,Vivian,Burnett,vivian.burnett@gmail.com,236-831-5026,Human Resources,,,,,,,,,,
,,Duncan,Chen,duncan.chen@yahoo.co.uk,239-879-2427,Tech Support,,,,,,,,,,
,,Miriam,Barrett,miriam.barrett@yahoo.ca,210-779-7802,Customer Support,,,,,,,,,,
,,Adam,Kirby,adam.kirby@yahoo.ca,208-736-4975,Human Resources,,,,,,,,,,
,,Benjamin,Macdonald,benjamin.macdonald@gmail.com,316-561-5979,Tech Support,,,,,,,,,,
,,Neil,Murray,neil.murray@apple.com,603-851-8092,Accounting,,,,,,,,,,
,,Nichole,Oneil,nichole.oneil@shaw.ca,209-683-3370,Sales,,,,,,,,,,
,,Jonathon,Pearson,jonathon.pearson@yahoo.com,240-746-0671,Customer Support,,,,,,,,,,
,,Brent,Bryant,brent.bryant@aol.com,423-391-0195,Customer Support,,,,,,,,,,
,,Carlene,Cain,carlene.cain@rediffmail.com,210-510-0508,Customer Support,,,,,,,,,,
,,Arnulfo,Pittman,arnulfo.pittman@yahoo.ca,215-333-8078,Sales,,,,,,,,,,
,,Nickolas,Williams,nickolas.williams@gmail.com,307-656-9306,Customer Support,,,,,,,,,,
,,Raymundo,Kramer,raymundo.kramer@aol.com,252-396-5055,Accounting,,,,,,,,,,
,,Jeremiah,Dotson,jeremiah.dotson@cox.net,216-364-7679,Sales,,,,,,,,,,
,,Tanner,Matthews,tanner.matthews@rediffmail.com,907-768-0562,Sales,,,,,,,,,,
,,Dorian,Foster,dorian.foster@gmail.com,304-937-0141,Tech Support,,,,,,,,,,
,,Nora,Hansen,nora.hansen@yahoo.co.uk,319-877-0443,Tech Support,,,,,,,,,,
,,Danial,Watts,danial.watts@hotmail.com,206-245-0115,Sales,,,,,,,,,,
,,Nelson,Mcintosh,nelson.mcintosh@bp.com,239-650-1951,Customer Support,,,,,,,,,,
,,Manuel,Fulton,manuel.fulton@gmail.com,339-281-4930,Customer Support,,,,,,,,,,
,,Dominic,Henson,dominic.henson@aol.com,314-758-8742,Sales,,,,,,,,,,
,,Lowell,Erickson,lowell.erickson@gmail.com,308-308-0823,Human Resources,,,,,,,,,,
,,Jayne,Coleman,jayne.coleman@yahoo.ca,236-667-5880,Admin,,,,,,,,,,
,,Cornell,Daniel,cornell.daniel@yahoo.com,212-208-7933,Sales,,,,,,,,,,
,,Doris,Glenn,doris.glenn@yahoo.co.uk,270-590-4835,Accounting,,,,,,,,,,
,,Tabatha,Gonzales,tabatha.gonzales@sbcglobal.net,215-935-5310,Tech Support,,,,,,,,,,
,,Jerome,Foreman,jerome.foreman@verizon.net,203-633-8482,Sales,,,,,,,,,,
,,Elton,Ferguson,elton.ferguson@ibm.com,217-662-5907,Tech Support,,,,,,,,,,
,,Stacy,Jennings,stacy.jennings@gmail.com,225-548-6104,Customer Support,,,,,,,,,,
,,Rory,Fowler,rory.fowler@shaw.ca,215-234-1586,Sales,,,,,,,,,,
